ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
3718,Solar,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,28,0,0,1,1,0
3719,"Differently categorized wind",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,1564,0,0,0,0,1
3720,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,308,0,0,1,0,0
3721,"Renewable energy sources",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,10840,0,1,0,0,0
3722,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,80095,0,0,1,1,1
3723,Total,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,114942,1,0,0,0,0
3724,"Biomass and biogas",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,229,0,0,0,1,1
3725,"Concentrated solar power",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3726,"Fossil fuels",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,80549,0,1,0,0,0
3727,Geothermal,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3728,Hydro,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,8841,0,0,1,1,0
3729,Marine,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3730,"Non-renewable waste",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,1090,0,0,1,1,1
3731,Nuclear,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,22314,0,1,1,1,1
3732,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,84,0,0,0,1,1
3733,Photovoltaics,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,42,0,0,0,0,1
3734,"Pumped storage",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,4545,0,0,0,0,1
3735,Wind,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,1966,0,0,1,1,0
3736,"Differently categorized solar",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3737,Solar,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,42,0,0,1,1,0
3738,"Differently categorized wind",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,1966,0,0,0,0,1
3739,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,313,0,0,1,0,0
3740,"Renewable energy sources",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,11162,0,1,0,0,0
3741,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,79459,0,0,1,1,1
3742,Total,EUROSTAT,"Statistical Office",1997,"Installed capacity in MW",DE,Unknown,,114025,1,0,0,0,0
3743,"Biomass and biogas",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,229,0,0,0,1,1
3744,"Concentrated solar power",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3745,"Fossil fuels",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,79452,0,1,0,0,0
3746,Geothermal,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3747,Hydro,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,8914,0,0,1,1,0
3748,Marine,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3749,"Non-renewable waste",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,1232,0,0,1,1,1
3750,Nuclear,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,22314,0,1,1,1,1
3751,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,103,0,0,0,1,1
3752,Photovoltaics,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,54,0,0,0,0,1
3753,"Pumped storage",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,4545,0,0,0,0,1
3754,Wind,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,2672,0,0,1,1,0
3755,"Differently categorized solar",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3756,Solar,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,54,0,0,1,1,0
3757,"Differently categorized wind",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,2672,0,0,0,0,1
3758,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,332,0,0,1,0,0
3759,"Renewable energy sources",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,11972,0,1,0,0,0
3760,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,78220,0,0,1,1,1
3761,Total,EUROSTAT,"Statistical Office",1998,"Installed capacity in MW",DE,Unknown,,113738,1,0,0,0,0
3762,"Biomass and biogas",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,287,0,0,0,1,1
3763,"Concentrated solar power",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3764,"Fossil fuels",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,78957,0,1,0,0,0
3765,Geothermal,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3766,Hydro,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,9201,0,0,1,1,0
3767,Marine,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3768,"Non-renewable waste",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,1548,0,0,1,1,1
3769,Nuclear,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,22329,0,1,1,1,1
3770,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,127,0,0,0,1,1
3771,Photovoltaics,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,70,0,0,0,0,1
3772,"Pumped storage",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,4654,0,0,0,0,1
3773,Wind,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,4138,0,0,1,1,0
3774,"Differently categorized solar",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3775,Solar,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,70,0,0,1,1,0
3776,"Differently categorized wind",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,4138,0,0,0,0,1
3777,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,414,0,0,1,0,0
3778,"Renewable energy sources",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,13823,0,1,0,0,0
3779,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,77409,0,0,1,1,1
3780,Total,EUROSTAT,"Statistical Office",1999,"Installed capacity in MW",DE,Unknown,,115109,1,0,0,0,0
3781,"Biomass and biogas",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,345,0,0,0,1,1
3782,"Concentrated solar power",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3783,"Fossil fuels",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,80320,0,1,0,0,0
